target,model,dropped_project,n_dropped,f1_without,f1_full
sample_host,RandomForest,PRJNA660212,3,0.3861152274462257,0.3861609934780666
sample_host,RandomForest,PRJNA685265,19,0.3868072787427626,0.3861609934780666
sample_host,RandomForest,PRJNA704183,4,0.3860998650472334,0.3861609934780666
sample_host,RandomForest,PRJNA739881,3,0.3861152274462257,0.3861609934780666
sample_host,RandomForest,PRJNA994900,70,0.3849511599511599,0.3861609934780666
sample_host,RandomForest_Bal,PRJEB11511,17,0.3736087570621469,0.37385822510822514
sample_host,RandomForest_Bal,PRJEB30280,9,0.37372801231310465,0.37385822510822514
sample_host,RandomForest_Bal,PRJEB30331,76,0.3726117480890661,0.37385822510822514
sample_host,RandomForest_Bal,PRJEB31971,6,0.3737718722659668,0.37385822510822514
sample_host,RandomForest_Bal,PRJEB34825,38,0.2861298701298701,0.37385822510822514
sample_host,RandomForest_Bal,PRJEB41240,238,0.3691501952171791,0.37385822510822514
sample_host,RandomForest_Bal,PRJEB41665,14,0.3756618505545826,0.37385822510822514
sample_host,RandomForest_Bal,PRJEB44723,8,0.3737426836406204,0.37385822510822514
sample_host,RandomForest_Bal,PRJEB55789,2,0.37382964089197795,0.37385822510822514
sample_host,RandomForest_Bal,PRJEB56776,15,0.37363888888888885,0.37385822510822514
sample_host,RandomForest_Bal,PRJEB58818,2,0.37382964089197795,0.37385822510822514
sample_host,RandomForest_Bal,PRJEB67998,19,0.3735784094300209,0.37385822510822514
sample_host,RandomForest_Bal,PRJEB78615,13,0.45062598425196854,0.37385822510822514
sample_host,RandomForest_Bal,PRJNA1056444,39,0.3732625348189415,0.37385822510822514
sample_host,RandomForest_Bal,PRJNA302605,5,0.3737863901018923,0.37385822510822514
sample_host,RandomForest_Bal,PRJNA531027,19,0.35479422066549915,0.37385822510822514
sample_host,RandomForest_Bal,PRJNA557308,1,0.37384395779126917,0.37385822510822514
sample_host,RandomForest_Bal,PRJNA608555,15,0.37363888888888885,0.37385822510822514
sample_host,RandomForest_Bal,PRJNA640385,8,0.3737426836406204,0.37385822510822514
sample_host,RandomForest_Bal,PRJNA657304,9,0.45012303664921466,0.37385822510822514
sample_host,RandomForest_Bal,PRJNA660212,3,0.373815274151436,0.37385822510822514
sample_host,RandomForest_Bal,PRJNA685265,19,0.37451432175719795,0.37385822510822514
sample_host,RandomForest_Bal,PRJNA704183,4,0.3738008573089218,0.37385822510822514
sample_host,RandomForest_Bal,PRJNA739881,3,0.373815274151436,0.37385822510822514
sample_host,RandomForest_Bal,PRJNA994900,70,0.37272372742200327,0.37385822510822514
sample_host,kNN_5,PRJEB11511,17,0.5715022095523546,0.5696638064255581
sample_host,kNN_5,PRJEB30280,9,0.5693636507893024,0.5696638064255581
sample_host,kNN_5,PRJEB30331,76,0.5673733055297366,0.5696638064255581
sample_host,kNN_5,PRJEB31971,6,0.5694648615701247,0.5696638064255581
sample_host,kNN_5,PRJEB34825,38,0.5235965677106698,0.5696638064255581
sample_host,kNN_5,PRJEB41240,238,0.5607622814389731,0.5696638064255581
sample_host,kNN_5,PRJEB41665,14,0.6224556768011446,0.5696638064255581
sample_host,kNN_5,PRJEB44723,8,0.5693975184795259,0.5696638064255581
sample_host,kNN_5,PRJEB55789,2,0.5695979996342974,0.5696638064255581
