dim	activation_sd	eta2_feature	rho_log_abundance	p_log_abundance	rho_mean_fraction	p_mean_fraction	best_task	best_eta2	max_abs_rho_depth	depth_dominated
65	0.34851399064064026	0.7624559998512268	0.44686768487606554	1.7996091306163877e-133	0.39615151028830625	9.530701252864214e-103	feature	0.7624559998512268	0.44686768487606554	False
66	0.4863591492176056	0.850600004196167	-0.14808194511759606	8.725396982047485e-15	-0.16844288210519529	9.777984386140303e-19	feature	0.850600004196167	0.16844288210519529	False
67	0.3615265488624573	0.8701838850975037	-0.5421986868542946	1.9756734581169434e-207	-0.5227563784521554	2.2193281649892458e-190	feature	0.8701838850975037	0.5421986868542946	False
68	0.05278604105114937	0.6649297475814819	-0.616094946918014	1.19252512175821e-283	-0.5683636682486822	3.210126099048295e-232	feature	0.6649297475814819	0.616094946918014	False
69	0.3758351504802704	0.8066864609718323	-0.46129221769377915	3.274122657385773e-143	-0.5655129323741118	2.0701010561087448e-229	feature	0.8066864609718323	0.5655129323741118	False
70	0.17476394772529602	0.7309789061546326	-0.5808061156442754	8.243119769866664e-245	-0.5572604375921743	1.9778132666023813e-221	feature	0.7309789061546326	0.5808061156442754	False
71	0.236212357878685	0.6867634654045105	-0.3260599498961583	2.6774891145471405e-68	-0.46753743592868674	1.414224684493285e-147	feature	0.6867634654045105	0.46753743592868674	False
72	0.23436039686203003	0.5373446345329285	-0.46772922552664453	1.0352407915671808e-147	-0.5746577711183447	1.603826734886747e-238	feature	0.5373446345329285	0.5746577711183447	False
73	0.2985094487667084	0.7435824275016785	0.6062931868570806	2.2702901278676875e-272	0.5902464681842767	9.870050476059738e-255	feature	0.7435824275016785	0.6062931868570806	False
74	0.3407804071903229	0.6035786867141724	0.3290836716594982	1.3060216549812645e-69	0.28899682430353646	2.1081531070821806e-53	feature	0.6035786867141724	0.3290836716594982	False
75	0.6853880882263184	0.7557042241096497	0.6193105603265946	1.943376212795524e-287	0.5753041328547174	3.550387758343646e-239	feature	0.7557042241096497	0.6193105603265946	False
76	0.3426153361797333	0.8152031302452087	0.5571521771804929	2.508343110597473e-221	0.6791646721328282	0.0	feature	0.8152031302452087	0.6791646721328282	False
77	0.3857989013195038	0.7732722163200378	-0.5448002390919386	8.479635945360491e-210	-0.6248191405691007	4.967145655953536e-294	feature	0.7732722163200378	0.6248191405691007	False
78	0.469434916973114	0.7214885950088501	0.4266787622389213	1.3214583822779887e-120	0.35306614348753296	1.4890199417923336e-80	feature	0.7214885950088501	0.4266787622389213	False
79	0.7916139364242554	0.6811537146568298	0.7079873396657156	0.0	0.7596764351496816	0.0	feature	0.6811537146568298	0.7596764351496816	False
